"LocationHeirarchyKey","LocationID","LocationParentID","LocationReferenceCode","LocationReferenceDescription","ParentLocationReference","DIT_LocationHierarchyCode","LocationHierarchyDescription","DIT_ProjectRdCode","ProjectRdDescription","DIT_LocationCode","LocationCodeDescription","DIT_SubLocationCode","SubLocationCodeDescription","SiteIDLocationReference","Uniclass_CoCode","Uniclass_CoTitle","Uniclass_EnCode","Uniclass_EnTitle","Uniclass_SLCode","Uniclass_SLTitle","Modified","Modified By","ID"
"1","QQ46K9",,"62035","South Road ",,"62035","South Road ","62035","South Road ",,,,,"3980","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","1"
"1","HR19G3",,"62036","South Road ",,"62036","South Road ","62036","South Road ",,,,,"3980","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","2"
"1","ES77F7",,"62037","South Road,  SouthBound On-ramp from Manton Street",,"62037","South Road,  SouthBound On-ramp from Manton Street","62037","South Road,  SouthBound On-ramp from Manton Street",,,,,"2490","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","3"
"1","GU79C8",,"62038","North South Motorway, NorthBound Off-ramp to Grange Road",,"62038","North South Motorway, NorthBound Off-ramp to Grange Road","62038","North South Motorway, NorthBound Off-ramp to Grange Road",,,,,"2480","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","4"
"1","MM06K2",,"62043","South Road",,"62043","South Road","62043","South Road",,,,,"3980","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","26/06/2026 2:10 PM","Muhammad Abid-T2D","5"
"1","CC46K7",,"05648","Port Road",,"05648","Port Road","05648","Port Road",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","6"
"1","AN35C2",,"05851","Grange Road & Manton Street",,"05851","Grange Road & Manton Street","05851","Grange Road & Manton Street",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_56","Motorways",,,"23/05/2025 10:34 AM","Tay, Bryan","7"
"1","EM88F2",,"06203","North South Motorway",,"06203","North South Motorway","06203","North South Motorway",,,,,"3990","Co_80_35_75","Road networks","En_80_35_56","Motorways",,,"4/06/2025 11:17 AM","Tay, Bryan","8"
"1","BU60X6",,"06780","Southern Expressway",,"06780","Southern Expressway","06780","Southern Expressway",,,,,"3990","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"4/06/2025 11:17 AM","Tay, Bryan","9"
"1","NJ21J2",,"NCRN001","Ashwin Parade",,"NCRN001","Ashwin Parade","NCRN001","Ashwin Parade",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","10"
"1","UR53O5",,"65802","West Thebarton Road",,"65802","West Thebarton Road","65802","West Thebarton Road",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"13/08/2025 10:34 AM","John Marsden-T2D","11"
"1","UP56P0",,"NCRN003","Tonsley Boulevard",,"NCRN003","Tonsley Boulevard","NCRN003","Tonsley Boulevard",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","12"
"1","PW65X7",,"NCRN004","Barwell Avenue",,"NCRN004","Barwell Avenue","NCRN004","Barwell Avenue",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","13"
"1","YI62Q5",,"NCRN005","Everard Avenue",,"NCRN005","Everard Avenue","NCRN005","Everard Avenue",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","14"
"1","FM59I7",,"06200","Richmond Road",,"06200","Richmond Road","06200","Richmond Road",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","15"
"1","PQ73F0",,"62049","North South Motorway, NorthBound On-ramp from Richmond Road",,"62049","North South Motorway, NorthBound On-ramp from Richmond Road","62049","North South Motorway, NorthBound On-ramp from Richmond Road",,,,,"2260","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","16"
"1","RG06I9",,"06212","Anzac Highway",,"06212","Anzac Highway","06212","Anzac Highway",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","17"
"1","IL09U1",,"62047","North South Motorway, SouthBound On-ramp from James Congdon Drive",,"62047","North South Motorway, SouthBound On-ramp from James Congdon Drive","62047","North South Motorway, SouthBound On-ramp from James Congdon Drive",,,,,"2270","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","18"
"1","UI22V5",,"06206","James Congdon Drive",,"06206","James Congdon Drive","06206","James Congdon Drive",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","19"
"1","UQ58O3",,"62045","North South Motorway, SouthBound On-ramp from Sir Donald Bradman Drive",,"62045","North South Motorway, SouthBound On-ramp from Sir Donald Bradman Drive","62045","North South Motorway, SouthBound On-ramp from Sir Donald Bradman Drive",,,,,"2310","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","20"
"1","WA79D0",,"62046","North South Motorway, SouthBound Off-ramp to Richmond Road",,"62046","North South Motorway, SouthBound Off-ramp to Richmond Road","62046","North South Motorway, SouthBound Off-ramp to Richmond Road",,,,,"2290","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","21"
"1","VP38C3",,"62048","North South Motorway, NorthBound Off-ramp to James Congdon Drive",,"62048","North South Motorway, NorthBound Off-ramp to James Congdon Drive","62048","North South Motorway, NorthBound Off-ramp to James Congdon Drive",,,,,"2250","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","22"
"1","ZL00P6",,"62050","North South Motorway, NorthBound Off-ramp to Richmond Road (Via Deacon Avenue)",,"62050","North South Motorway, NorthBound Off-ramp to Richmond Road (Via Deacon Avenue)","62050","North South Motorway, NorthBound Off-ramp to Richmond Road (Via Deacon Avenue)",,,,,"2280","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","23"
"1","QB59X2",,"62051","North South Motorway, Southbound Off-ramp to Anzac Highway",,"62051","North South Motorway, Southbound Off-ramp to Anzac Highway","62051","North South Motorway, Southbound Off-ramp to Anzac Highway",,,,,"2200","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","24"
"1","BA03L3",,"62052","North South Motorway, NorthBound On-ramp from Anzac Highway",,"62052","North South Motorway, NorthBound On-ramp from Anzac Highway","62052","North South Motorway, NorthBound On-ramp from Anzac Highway",,,,,"2240","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","25"
"1","XB35L9",,"62053","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road)",,"62053","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road)","62053","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road)",,,,,"3440","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","26"
"1","SP27K7",,"62054","North South Motorway, SouthBound On-ramp from Anzac Hwy",,"62054","North South Motorway, SouthBound On-ramp from Anzac Hwy","62054","North South Motorway, SouthBound On-ramp from Anzac Hwy",,,,,"3420","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","27"
"1","OW92D3",,"62055","North South Motorway, NorthBound On-ramp from Cross Road",,"62055","North South Motorway, NorthBound On-ramp from Cross Road","62055","North South Motorway, NorthBound On-ramp from Cross Road",,,,,"3430","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","28"
"1","WI34H3",,"62056","North South Motorway, NorthBound Off-ramp to Anzac Hwy",,"62056","North South Motorway, NorthBound Off-ramp to Anzac Hwy","62056","North South Motorway, NorthBound Off-ramp to Anzac Hwy",,,,,"3410","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","29"
"1","AO18U3",,"NCRN006","Brookman Avenue",,"NCRN006","Brookman Avenue","NCRN006","Brookman Avenue",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","30"
"1","SO08G5",,"06586","Sir Donald Bradman Drive",,"06586","Sir Donald Bradman Drive","06586","Sir Donald Bradman Drive",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","31"
"1","ZW52G5",,"NCRN007","Manchester Street",,"NCRN007","Manchester Street","NCRN007","Manchester Street",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","32"
"1","IZ61A2",,"NCRN008","Celtic Avenue",,"NCRN008","Celtic Avenue","NCRN008","Celtic Avenue",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","33"
"1","XM14R4",,"05857","Adam Street",,"05857","Adam Street","5857","Adam Street",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"27/02/2026 9:24 AM","John Marsden-T2D","34"
"1","JN50R9",,"NCRN010","Walsh Ave",,"NCRN010","Walsh Ave","NCRN010","Walsh Ave",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","26/06/2026 2:08 PM","Muhammad Abid-T2D","35"
"1","IX98D8",,"NCRN011","Ware Street",,"NCRN011","Ware Street","NCRN011","Ware Street",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","36"
"1","AQ86C9",,"NCRN012","Orsmond Street",,"NCRN012","Orsmond Street","NCRN012","Orsmond Street",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","37"
"1","EP99S2",,"NCRN013","Deacon Avenue",,"NCRN013","Deacon Avenue","NCRN013","Deacon Avenue",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","38"
"2","NR76V1","ES77F7","L491","SouthBound On-ramp from Manton Street (MC5B)","62037","62037-L491","South Road,  SouthBound On-ramp from Manton Street;SouthBound On-ramp from Manton Street (MC5B)","62037","South Road,  SouthBound On-ramp from Manton Street","L491","SouthBound On-ramp from Manton Street (MC5B)",,,"2491","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","40"
"2","AF19Y9","GU79C8","L481","NorthBound Off-ramp to Grange Road (MC5A)","62038","62038-L481","North South Motorway, NorthBound Off-ramp to Grange Road;NorthBound Off-ramp to Grange Road (MC5A)","62038","North South Motorway, NorthBound Off-ramp to Grange Road","L481","NorthBound Off-ramp to Grange Road (MC5A)",,,"2481","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","41"
"2","XH34Z4","OW92D3","L431","NorthBound On-ramp from Cross Road, North of BR20 (MC2C)","62055","62055-L431","North South Motorway, NorthBound On-ramp from Cross Road;NorthBound On-ramp from Cross Road, North of BR20 (MC2C)","62055","North South Motorway, NorthBound On-ramp from Cross Road","L431","NorthBound On-ramp from Cross Road, North of BR20 (MC2C)",,,"3431","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","42"
"2B","DI30D0","OW92D3","N343","Elevated Southbound Off-Ramp of Anzac Highway (BR20)","62055","62055-N343","North South Motorway, NorthBound On-ramp from Cross Road;Elevated Southbound Off-Ramp of Anzac Highway (BR20)","62055","North South Motorway, NorthBound On-ramp from Cross Road","N343","Elevated Southbound Off-Ramp of Anzac Highway (BR20)",,,"343","Co_80_35_75","Road networks","En_80_94_30","Fixed bridges",,,"3/10/2025 4:09 PM","Tay, Bryan","43"
"2","AX35R6","OW92D3","L434","NorthBound On-ramp from Cross Road, South of BR20 (MC2C)","62055","62055-L434","North South Motorway, NorthBound On-ramp from Cross Road;NorthBound On-ramp from Cross Road, South of BR20 (MC2C)","62055","North South Motorway, NorthBound On-ramp from Cross Road","L434","NorthBound On-ramp from Cross Road, South of BR20 (MC2C)",,,"3434","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","9/07/2025 2:22 PM","Tay, Bryan","44"
"2","ZV65L2","BA03L3","L201","NorthBound On-ramp from Anzac Highway  (MC2E)","62052","62052-L201","North South Motorway, NorthBound On-ramp from Anzac Highway;NorthBound On-ramp from Anzac Highway  (MC2E)","62052","North South Motorway, NorthBound On-ramp from Anzac Highway","L201","NorthBound On-ramp from Anzac Highway  (MC2E)",,,"2201","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","45"
"2","RY19N0","QB59X2","L241","Southbound Off-ramp to Anzac Highway (MC3A)","62051","62051-L241","North South Motorway, Southbound Off-ramp to Anzac Highway;Southbound Off-ramp to Anzac Highway (MC3A)","62051","North South Motorway, Southbound Off-ramp to Anzac Highway","L241","Southbound Off-ramp to Anzac Highway (MC3A)",,,"2241","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","46"
"2","VB17Y5","WI34H3","L411","NorthBound Off-ramp to Anzac Hwy (MC2A)","62056","62056-L411","North South Motorway, NorthBound Off-ramp to Anzac Hwy;NorthBound Off-ramp to Anzac Hwy (MC2A)","62056","North South Motorway, NorthBound Off-ramp to Anzac Hwy","L411","NorthBound Off-ramp to Anzac Hwy (MC2A)",,,"3411","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","47"
"2","WH85T8","XB35L9","L441","SouthBound Off-ramp to Cross Road (Via South Road), North of BR19 (MC2D)","62053","62053-L441","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road);SouthBound Off-ramp to Cross Road (Via South Road), North of BR19 (MC2D)","62053","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road)","L441","SouthBound Off-ramp to Cross Road (Via South Road), North of BR19 (MC2D)",,,"3441","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","48"
"2B","TX10U6","XB35L9","N344","Elevated Northbound Off-Ramp South of Anzac Highway (BR19)","62053","62053-N344","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road);Elevated Northbound Off-Ramp South of Anzac Highway (BR19)","62053","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road)","N344","Elevated Northbound Off-Ramp South of Anzac Highway (BR19)",,,"344","Co_80_35_75","Road networks","En_80_94_30","Fixed bridges",,,"23/05/2025 10:35 AM","Tay, Bryan","49"
"2","IM67M7","XB35L9","L444","SouthBound Off-ramp to Cross Road (Via South Road), South of BR19 (MC2D)","62053","62053-L444","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road);SouthBound Off-ramp to Cross Road (Via South Road), South of BR19 (MC2D)","62053","North South Motorway, SouthBound Off-ramp to Cross Road (Via South Road)","L444","SouthBound Off-ramp to Cross Road (Via South Road), South of BR19 (MC2D)",,,"3444","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","9/07/2025 2:23 PM","Tay, Bryan","50"
"2","OC72V1","VP38C3","L254","NorthBound Off-ramp from James Congdon Drive, South of BR14 (MC3B)","62048","62048-L254","North South Motorway, NorthBound Off-ramp to James Congdon Drive;NorthBound Off-ramp from James Congdon Drive, South of BR14 (MC3B)","62048","North South Motorway, NorthBound Off-ramp to James Congdon Drive","L254","NorthBound Off-ramp from James Congdon Drive, South of BR14 (MC3B)",,,"2254","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","9/07/2025 2:24 PM","Tay, Bryan","51"
"2B","XA80D1","VP38C3","N225","Off-ramp Underpass below James Congdon Drive (BR14)","62048","62048-N225","North South Motorway, NorthBound Off-ramp to James Congdon Drive;Off-ramp Underpass below James Congdon Drive (BR14)","62048","North South Motorway, NorthBound Off-ramp to James Congdon Drive","N225","Off-ramp Underpass below James Congdon Drive (BR14)",,,"225","Co_80_35_75","Road networks","En_80_94_30","Fixed bridges",,,"23/05/2025 10:35 AM","Tay, Bryan","52"
"2","BO27T0","ZL00P6","L282","NorthBound Off-ramp to Richmond Road (Loop to Deacon) until BR13 (MC3E)","62050","62050-L282","North South Motorway, NorthBound Off-ramp to Richmond Road (Via Deacon Avenue);NorthBound Off-ramp to Richmond Road (Loop to Deacon) until BR13 (MC3E)","62050","North South Motorway, NorthBound Off-ramp to Richmond Road (Via Deacon Avenue)","L282","NorthBound Off-ramp to Richmond Road (Loop to Deacon) until BR13 (MC3E)",,,"2282","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","17/11/2025 3:02 PM","John Marsden-T2D","54"
"2","XJ68U0","WA79D0","L291","SouthBound Off-ramp to Richmond Road (MC3F)","62046","62046-L291","North South Motorway, SouthBound Off-ramp to Richmond Road;SouthBound Off-ramp to Richmond Road (MC3F)","62046","North South Motorway, SouthBound Off-ramp to Richmond Road","L291","SouthBound Off-ramp to Richmond Road (MC3F)",,,"2291","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","55"
"2","ZO27W6","UQ58O3","L311","SouthBound On-ramp from Sir Donald Bradman Drive (MC3H)","62045","62045-L311","North South Motorway, SouthBound On-ramp from Sir Donald Bradman Drive;SouthBound On-ramp from Sir Donald Bradman Drive (MC3H)","62045","North South Motorway, SouthBound On-ramp from Sir Donald Bradman Drive","L311","SouthBound On-ramp from Sir Donald Bradman Drive (MC3H)",,,"2311","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","56"
"2","FB81L0","IL09U1","L271","SouthBound On-ramp from James Congdon Drive East of BR12 (MC3D)","62047","62047-L271","North South Motorway, SouthBound On-ramp from James Congdon Drive;SouthBound On-ramp from James Congdon Drive East of BR12 (MC3D)","62047","North South Motorway, SouthBound On-ramp from James Congdon Drive","L271","SouthBound On-ramp from James Congdon Drive East of BR12 (MC3D)",,,"2271","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","57"
"2B","SJ22F3","IL09U1","N227","Southbound from James Congdon Drive Flyover Ramp (BR12)","62047","62047-N227","North South Motorway, SouthBound On-ramp from James Congdon Drive;Southbound from James Congdon Drive Flyover Ramp (BR12)","62047","North South Motorway, SouthBound On-ramp from James Congdon Drive","N227","Southbound from James Congdon Drive Flyover Ramp (BR12)",,,"227","Co_80_35_75","Road networks","En_80_94_30","Fixed bridges",,,"23/05/2025 10:35 AM","Tay, Bryan","58"
"2","NK82I2","IL09U1","L274","SouthBound On-ramp from James Congdon Drive West of BR12 (MC3D)","62047","62047-L274","North South Motorway, SouthBound On-ramp from James Congdon Drive;SouthBound On-ramp from James Congdon Drive West of BR12 (MC3D)","62047","North South Motorway, SouthBound On-ramp from James Congdon Drive","L274","SouthBound On-ramp from James Congdon Drive West of BR12 (MC3D)",,,"2274","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","9/07/2025 2:25 PM","Tay, Bryan","59"
"2","UK04F2","SP27K7","L421","SouthBound On-ramp from Anzac Hwy (MC2B)","62054","62054-L421","North South Motorway, SouthBound On-ramp from Anzac Hwy;SouthBound On-ramp from Anzac Hwy (MC2B)","62054","North South Motorway, SouthBound On-ramp from Anzac Hwy","L421","SouthBound On-ramp from Anzac Hwy (MC2B)",,,"3421","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","29/05/2025 10:58 AM","Tay, Bryan","60"
"2","UC17E8","PQ73F0","L261","NorthBound On-ramp from Richmond Road (MC3C)","62049","62049-L261","North South Motorway, NorthBound On-ramp from Richmond Road;NorthBound On-ramp from Richmond Road (MC3C)","62049","North South Motorway, NorthBound On-ramp from Richmond Road",,"NorthBound On-ramp from Richmond Road (MC3C)",,,"2261","Co_80_35_75","Road networks","En_80_35_01","Access roads","SL_80_35_80","Slip road carriageways","4/08/2025 12:10 PM","John Marsden-T2D","61"
"2","LK88B1","QQ46K9","N400","Port Rd Intersection","62035","62035-N400","South Road ;Port Rd Intersection","62035","South Road ","N400","Port Rd Intersection",,,"2400","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_42","Intersections","23/05/2025 10:35 AM","Tay, Bryan","62"
"2","TB67K0","QQ46K9","L431","Between Port Rd & Manton Street  (MC51/MC52)","62035","62035-L431","South Road ;Between Port Rd & Manton Street  (MC51/MC52)","62035","South Road ","L431","Between Port Rd & Manton Street  (MC51/MC52)",,,"2431","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","23/05/2025 10:35 AM","Tay, Bryan","63"
"2","AI01E4","QQ46K9","N401","Manton St Intersection","62035","62035-N401","South Road ;Manton St Intersection","62035","South Road ","N401","Manton St Intersection",,,"2401","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_42","Intersections","23/05/2025 10:35 AM","Tay, Bryan","64"
"2","RS80D5","MM06K2","L432","North of River Torrens, Karrawirra Parri  (MC51/MC52)","62043","62043-L432","South Road;North of River Torrens, Karrawirra Parri  (MC51/MC52)","62043","South Road","L432","North of River Torrens, Karrawirra Parri  (MC51/MC52)",,,"2432","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","23/05/2025 10:35 AM","Tay, Bryan","65"
"2B","MB98E5","MM06K2","N433","Taylors Bridge SouthBound (over River Torrens, Karrawirra Parri and Hindmarsh Cemetry) on South Road (BR03)","62043","62043-N433","South Road;Taylors Bridge SouthBound (over River Torrens, Karrawirra Parri and Hindmarsh Cemetry) on South Road (BR03)","62043","South Road","N433","Taylors Bridge SouthBound (over River Torrens, Karrawirra Parri and Hindmarsh Cemetry) on South Road (BR03)",,,"243","Co_80_35_75","Road networks","En_80_94_30","Fixed bridges",,,"23/05/2025 10:35 AM","Tay, Bryan","66"
"2B","TV04K6","MM06K2","N434","Taylors Bridge NorthBound (over River Torrens, Karrawirra Parri) on South Road (BR01)","62043","62043-N434","South Road;Taylors Bridge NorthBound (over River Torrens, Karrawirra Parri) on South Road (BR01)","62043","South Road","N434","Taylors Bridge NorthBound (over River Torrens, Karrawirra Parri) on South Road (BR01)",,,"243","Co_80_35_75","Road networks","En_80_94_30","Fixed bridges",,,"23/05/2025 10:35 AM","Tay, Bryan","67"
"2","LF08Z2","MM06K2","L437","Between River Torrens & West Thebarton Road  (MC51/MC52)","62043","62043-L437","South Road;Between River Torrens & West Thebarton Road  (MC51/MC52)","62043","South Road","L437","Between River Torrens & West Thebarton Road  (MC51/MC52)",,,"2437","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","9/07/2025 2:25 PM","Tay, Bryan","68"
"2","LF36V5","MM06K2","N403","West Thebarton Road & Ashwin Parade Intersection","62043","62043-N403","South Road;West Thebarton Road & Ashwin Parade Intersection","62043","South Road","N403","West Thebarton Road & Ashwin Parade Intersection",,,"2403","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_42","Intersections","23/05/2025 10:35 AM","Tay, Bryan","69"
"2","VT14O6","MM06K2","L438","Between Ashwin Parade & Henley Beach Road (MC51/MC52)","62043","62043-L438","South Road;Between Ashwin Parade & Henley Beach Road (MC51/MC52)","62043","South Road","L438","Between Ashwin Parade & Henley Beach Road (MC51/MC52)",,,"2438","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","9/07/2025 2:26 PM","Tay, Bryan","70"
"2","NY41X4","MM06K2","N404","Henley Beach Road Intersection","62043","62043-N404","South Road;Henley Beach Road Intersection","62043","South Road","N404","Henley Beach Road Intersection",,,"2404","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_42","Intersections","23/05/2025 10:35 AM","Tay, Bryan","71"
"2","EZ06A6","MM06K2","L439","Between Henley Beach Road &  Sir Donald Bradman Drive (MC51/MC52)","62043","62043-L439","South Road;Between Henley Beach Road &  Sir Donald Bradman Drive (MC51/MC52)","62043","South Road","L439","Between Henley Beach Road &  Sir Donald Bradman Drive (MC51/MC52)",,,"2439","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","9/07/2025 2:26 PM","Tay, Bryan","72"
"2","MM33H6","MM06K2","N405","Sir Donald Bradman Drive Intersection","62043","62043-N405","South Road;Sir Donald Bradman Drive Intersection","62043","South Road","N405","Sir Donald Bradman Drive Intersection",,,"2405","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_42","Intersections","23/05/2025 10:35 AM","Tay, Bryan","73"
"2C","GV32O2","MM06K2","N269","Keswick Creek Culvert (BR)","62043","62043-N269","South Road;Keswick Creek Culvert (BR)","62043","South Road","N269","Keswick Creek Culvert (BR)",,,"269","Co_50_35_85","Surface water collection networks","En_32_95_16","Complex culverts",,,"23/05/2025 10:35 AM","Tay, Bryan","74"
"2","JE53E2","MM06K2","L411","Between Sir Donald Bradman Drive & Richmond Rd  (MC44/MC48)","62043","62043-L411","South Road;Between Sir Donald Bradman Drive & Richmond Rd  (MC44/MC48)","62043","South Road","L411","Between Sir Donald Bradman Drive & Richmond Rd  (MC44/MC48)",,,"2410-2411","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","2/04/2026 2:52 PM","John Marsden-T2D","75"
"2B","NH66C7","MM06K2","N270","Active Transport Crossing (ATC) Bridge at James Congdon Drive (BR15)","62043","62043-N270","South Road;Active Transport Crossing (ATC) Bridge at James Congdon Drive (BR15)","62043","South Road","N270","Active Transport Crossing (ATC) Bridge at James Congdon Drive (BR15)",,,"270","Co_80","Transport complexes","En_80_94_30","Fixed bridges",,,"23/05/2025 10:35 AM","Tay, Bryan","76"
"2B","WJ80T8","ZL00P6","N228","Off-ramp underpass to Richmond Road (BR13)","62050","62050-N228","North South Motorway, NorthBound Off-ramp to Richmond Road (Via Deacon Avenue);Off-ramp underpass to Richmond Road (BR13)","62050","North South Motorway, NorthBound Off-ramp to Richmond Road (Via Deacon Avenue)","N228","Off-ramp underpass to Richmond Road (BR13)",,,"228","Co_80_35_75","Road networks","En_80_94_30","Fixed bridges",,,"17/11/2025 3:02 PM","John Marsden-T2D","77"
