"LocationHeirarchyKey","LocationID","LocationParentID","LocationReferenceCode","LocationReferenceDescription","ParentLocationReference","DIT_LocationHierarchyCode","LocationHierarchyDescription","DIT_ProjectRdCode","ProjectRdDescription","DIT_LocationCode","LocationCodeDescription","DIT_SubLocationCode","SubLocationCodeDescription","SiteIDLocationReference","Uniclass_CoCode","Uniclass_CoTitle","Uniclass_EnCode","Uniclass_EnTitle","Uniclass_SLCode","Uniclass_SLTitle","Modified","Modified By","ID"
"3XP","VK31H2","EK14W1","SN170","Cross Passage S17","L003","06203-L003-SN170","North South Motorway;Southern Tunnels;Cross Passage S17","06203","North South Motorway","L003","3170","SN170","Cross Passage S17","3170","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","324"
"3CW","WS71S1","EK14W1","SL171","Between Cross Passage S17 & S18, West Carriageway, Northbound","L003","06203-L003-SL171","North South Motorway;Southern Tunnels;Between Cross Passage S17 & S18, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL171","Between Cross Passage S17 & S18, West Carriageway, Northbound","3171,3176","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","325"
"3CW","HM47S8","EK14W1","SL172","Between Cross Passage S17 & S18, East Carriageway, Southbound","L003","06203-L003-SL172","North South Motorway;Southern Tunnels;Between Cross Passage S17 & S18, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL172","Between Cross Passage S17 & S18, East Carriageway, Southbound","3172,3177","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","326"
"3IN","EW61B3","EK14W1","SL173","Invert Between Cross Passage S17 & S18, West Carriageway, Northbound","L003","06203-L003-SL173","North South Motorway;Southern Tunnels;Invert Between Cross Passage S17 & S18, West Carriageway, Northbound","06203","North South Motorway","L003","3173","SL173","Invert Between Cross Passage S17 & S18, West Carriageway, Northbound","3173","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/06/2025 4:37 PM","Tay, Bryan","327"
"3IN","OD54G0","EK14W1","SL174","Invert Between Cross Passage S17 & S18, East Carriageway, Southbound","L003","06203-L003-SL174","North South Motorway;Southern Tunnels;Invert Between Cross Passage S17 & S18, East Carriageway, Southbound","06203","North South Motorway","L003","3174","SL174","Invert Between Cross Passage S17 & S18, East Carriageway, Southbound","3174","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/06/2025 4:37 PM","Tay, Bryan","328"
"3XP","RR41K1","EK14W1","SN180","Cross Passage S18","L003","06203-L003-SN180","North South Motorway;Southern Tunnels;Cross Passage S18","06203","North South Motorway","L003","3180","SN180","Cross Passage S18","3180","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","329"
"3CW","VG99T9","EK14W1","SL181","Between Cross Passage S18 & S19, West Carriageway, Northbound","L003","06203-L003-SL181","North South Motorway;Southern Tunnels;Between Cross Passage S18 & S19, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL181","Between Cross Passage S18 & S19, West Carriageway, Northbound","3181,3186","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","330"
"3CW","MA09L0","EK14W1","SL182","Between Cross Passage S18 & S19, East Carriageway, Southbound","L003","06203-L003-SL182","North South Motorway;Southern Tunnels;Between Cross Passage S18 & S19, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL182","Between Cross Passage S18 & S19, East Carriageway, Southbound","3182,3187","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","331"
"3IN","LH46C4","EK14W1","SL183","Invert Between Cross Passage S18 & S19, West Carriageway, Northbound","L003","06203-L003-SL183","North South Motorway;Southern Tunnels;Invert Between Cross Passage S18 & S19, West Carriageway, Northbound","06203","North South Motorway","L003","3183","SL183","Invert Between Cross Passage S18 & S19, West Carriageway, Northbound","3183","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/06/2025 4:37 PM","Tay, Bryan","332"
"3IN","WC37I6","EK14W1","SL184","Invert Between Cross Passage S18 & S19, East Carriageway, Southbound","L003","06203-L003-SL184","North South Motorway;Southern Tunnels;Invert Between Cross Passage S18 & S19, East Carriageway, Southbound","06203","North South Motorway","L003","3184","SL184","Invert Between Cross Passage S18 & S19, East Carriageway, Southbound","3184","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/06/2025 4:37 PM","Tay, Bryan","333"
