"Asset Identifier (Label)","Managed","DIT_AssetType","AssetTypeRef","SiteID_Drawings","Manual_SiteID","AssetCapture","T2D_DisciplineCode","T2D_ClashGroup","Uniclass_EfCode","Uniclass_EfTitle","Uniclass_SsCode","Uniclass_SsTitle","Uniclass_PrCode","Uniclass_PrTitle","UniclassCodeKey","LocationHeirarchyKey","DIT_AssetClass","DIT_AssetComponent","Ausroads_Asset_Discipline","DIT_AssetCategory","ShapeField","Created By","MPDId","Compliance Asset Id","ID","Created","Modified","Modified By"
"(MOC) Communications Conduits UC","Conditional","MCD","MCD","No","No","Model","UC","201","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45_45","Low-voltage distribution systems","Pr_65_70_11_71","Rigid conduit","EF_70_30_45Ss_70_30_45_45Pr_65_70_11_71",,"01.05 M&E","01.05.01.03.04 Cables (LV)",,"Point Asset",,"Muhammad Abid-T2D",,,"3747","7/07/2026 12:01 PM","7/07/2026 12:07 PM","Muhammad Abid-T2D"
"(MOC) Electrical LV Conduits UE","Conditional","ECM","ECM","No","No","Model","UE","202","EF_70_30","Electricity distribution","Ss_70_30","Electricity distribution systems","Pr_65_70_11_71","Rigid conduit","EF_70_30Ss_70_30Pr_65_70_11_71","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset",,"Muhammad Abid-T2D",,,"3744","7/07/2026 11:29 AM","7/07/2026 12:00 PM","Muhammad Abid-T2D"
"(MOC) Fire Water Pipes UW","Conditional","MFW","MFW","Yes","No","Model","UW","205","EF_55_30_96","Water firefighting supply","Ss_55_70_95_50","Treated water pressure pipeline systems","Pr_65_52_63","Pipes and fittings","EF_55_30_96Ss_55_70_95_50Pr_65_52_63","2; 3","01.05 M&E","01.05.04.06.02 Rising Main Pipe",,"Point Asset",,"Muhammad Abid-T2D",,,"3749","7/07/2026 12:01 PM","7/07/2026 12:10 PM","Muhammad Abid-T2D"
"(MOC) Pipes Sewer US","Conditional","MSW","MSW","No","No","Model","US","204","EF_50_30","Above-ground drainage collection","Ss_50_30_04","Above-ground wastewater drainage systems","Pr_65_52_63_89","Unplasticized polyvinyl chloride (PVC-U) pipes","EF_50_30Ss_50_30_04Pr_65_52_63_89","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset",,"Muhammad Abid-T2D",,,"3748","7/07/2026 12:01 PM","7/07/2026 12:10 PM","Muhammad Abid-T2D"
"(MOC) Potable Water Pipes UW","Conditional","MWS","MWS","No","No","Model","UW","205","EF_55_70","Water supply","Ss_55_70_95","Water distribution network systems","Pr_65_52_63_17","Copper pipes","EF_55_70Ss_55_70_95Pr_65_52_63_17","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset",,"Muhammad Abid-T2D",,,"3746","7/07/2026 11:32 AM","7/07/2026 11:58 AM","Muhammad Abid-T2D"
"(MOC) Surface Drainage Stormwater pipe","Conditional","DRP","DRP","No","No","Model","SD","262","EF_50_70","Drainage treatment and disposal","Ss_50_30_02","Rainwater drainage systems","Pr_65_52_63","Pipes and fittings","EF_50_70Ss_50_30_02Pr_65_52_63",,"01.05 M&E","01.05.04.01.02 Stormwater pipe",,"Point Asset",,"Muhammad Abid-T2D",,,"3742","7/07/2026 11:21 AM","7/07/2026 12:00 PM","Muhammad Abid-T2D"
"(MS) Closure Boom Gate","Yes","BB","BB","Yes","No","Model","MS","145","EF_75_30_35","Road signals and controls","Ss_75_30_35","Road signal and control systems","Pr_30_59_59_72","Rising arm vehicular barriers","EF_75_30_35Ss_75_30_35Pr_30_59_59_72","2; 3","01.05 M&E","01.05.05.05.18 Tunnel closure system (Boom Gate System)",,"Point Asset","Point","Bird, Cheyne",,,"3199","7/10/2025 12:13 PM","20/05/2026 5:37 PM","Gunagi, Pooja"
"(MS) Pile Cap","No","N/A",,"N/A","No","N/A","MS","142","EF_20_05","Substructure","Ss_20_05_15","Concrete foundation systems","Pr_20_85_62_19","Concrete pile caps","EF_20_05Ss_20_05_15Pr_20_85_62_19","2; 1; 3","N/A","N/A",,,,"Bird, Cheyne",,,"3197","7/10/2025 12:11 PM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"(MS) Reinforced Concrete Wall","No","N/A",,"N/A","No","N/A","MS","142","EF_25_10","Walls","Ss_25_10_32_70","Reinforced concrete wall structure systems","Pr_20_31_16_37","High strength concrete","EF_25_10Ss_25_10_32_70Pr_20_31_16_37","2; 2CA; 3","N/A","N/A",,,,"Long, Mike",,,"3297","6/01/2026 4:03 PM","22/05/2026 11:56 AM","Long, Mike"
"(S) - Circuit Breaker - Mech Services Switchboard (UPS)","Yes","MUI","MUI","No","Yes","Register","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.05 Circuit Breaker (LV)",,"Point Asset","Point","Basile, Rino",,,"3487","7/04/2026 5:53 PM","20/05/2026 4:10 PM","Gunagi, Pooja"
"(S) - MSSB Generator Power External Isolator","Yes","MGT","MGT","No","Yes","Register","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.05 Circuit Breaker (LV)",,"Point Asset","Point","Basile, Rino",,,"3485","7/04/2026 5:51 PM","20/05/2026 4:10 PM","Gunagi, Pooja"
"(S) - MSSB UPS Main Incoming Switch Isolator","Yes","MUI","LSI","No","Yes","Register","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.05 Circuit Breaker (LV)",,"Point Asset","Point","Basile, Rino",,,"3486","7/04/2026 5:52 PM","20/05/2026 4:10 PM","Gunagi, Pooja"
"(S) A/C Control Panel","Yes","ACP","ACP","Yes","No","Model","ME",,"EF_65_80","Air conditioning","Ss_65_80","Air conditioning systems","Pr_75_50_18_51","Mechanical services control panels","EF_65_80Ss_65_80Pr_75_50_18_51","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.03.04.01 Cross Passage Equipment Room Air Conditioning Units",,"Point Asset","Point","Basile, Rino",,,"3600","29/04/2026 12:26 PM","21/05/2026 3:42 PM","Muhammad Abid-T2D"
"(S) Access Control Panel","Yes","CPL","CPL","Yes","No","Model","ID","372","EF_75_40_02","Access control","Ss_75_40_02","Access control systems","Pr_80_77_28","Equipment enclosures, cabinets, boxes and housings","EF_75_40_02Ss_75_40_02Pr_80_77_28","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.06 Control Panel - Lighting",,"Point Asset","Point","Tay, Bryan","874",,"349","13/05/2025 5:19 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"(S) Access Stairs","No","N/A",,"N/A","No","N/A","FS","374","EF_35_10","Stairs","Ss_35_10","Stair and ramp structure systems","Pr_25_30_85","Stair and ladder units","EF_35_10Ss_35_10Pr_25_30_85","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,,,"Basile, Rino","831",,"3265","8/12/2025 2:18 PM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"(S) Advanced Warning Sign (AWS)","Yes","AWS","AWS","Yes","No","Model","TT","250","EF_75_30_35","Road signals and controls","Ss_75_30_35","Road signal and control systems","Pr_40_10_77_39","Illuminated warning signs","EF_75_30_35Ss_75_30_35Pr_40_10_77_39","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.05.05.15 Advanced Warning Signs",,"Point Asset","Point","Tay, Bryan","749",,"223","13/05/2025 5:19 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"(S) Air admittance valves (AAV)","Yes","VLV","VLV","No","No","Model","HY","352","EF_50_30","Above-ground drainage collection","Ss_50_30_04","Above-ground wastewater drainage systems","Pr_65_54_24_02","Air admittance valves","EF_50_30Ss_50_30_04Pr_65_54_24_02","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.04.05.01 Valves",,"Point Asset","Point","Tay, Bryan","866",,"341","13/05/2025 5:19 PM","20/05/2026 5:57 PM","Gunagi, Pooja"
"(S) Air Conditioning Unit","Yes","ACU","ACU","Yes","Yes","Model","ME","371","EF_65_80","Air conditioning","Ss_65_80","Air conditioning systems","Pr_70_65_03","Air conditioning units","EF_65_80Ss_65_80Pr_70_65_03","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.04 Structures","01.04.04.02.04 HVAC & Exhaust Services",,"Point Asset","Point","Tay, Bryan","875",,"350","13/05/2025 5:19 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"(S) Air Cooled Condenser","Yes","ACC","ACC","Yes","Yes","Model","ME","371","EF_65_80","Air conditioning","Ss_65_80","Air conditioning systems","Pr_70_65_03_02","Air-cooled condensing units","EF_65_80Ss_65_80Pr_70_65_03_02","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.04 Structures","01.04.04.02.04 HVAC & Exhaust Services",,"Point Asset","Point","Tay, Bryan","876",,"351","13/05/2025 5:19 PM","20/05/2026 2:36 PM","Bird, Cheyne"
"(S) Air Filter","Yes","AFR","AFR","Yes","Yes","Model","ME","371","EF_65_80","Air conditioning","Ss_65_80","Air conditioning systems","Pr_65_57_02","Air filters","EF_65_80Ss_65_80Pr_65_57_02","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.04.04.02.04.02 HVAC Filter (Mechanical)",,"Point Asset","Point","Basile, Rino",,,"3317","23/01/2026 9:25 AM","21/05/2026 3:42 PM","Muhammad Abid-T2D"
"(S) Air Humidity Sensor - NOT REQUIRED - PLEASE DELETE","Yes","AHS","AHS","Yes","No","Unsure","ME","371","EF_65_80","Air conditioning","Ss_65_80","Air conditioning systems","Pr_75_50_76_71","Relative humidity sensors","EF_65_80Ss_65_80Pr_75_50_76_71","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.03.04.02 Room Temperature Sensors",,"Point Asset","Point","Basile, Rino",,,"3332","29/01/2026 3:18 PM","10/06/2026 10:20 AM","Basile, Rino"
"(S) Air Quality Sensor","Yes","AQS","AQS","Yes","No","Model","ME","371","EF_65_80","Air conditioning","Ss_75_70_54_05","Air Quality Monitoring Systems","Pr_75_50_76_02","Air quality sensors","EF_65_80Ss_75_70_54_05Pr_75_50_76_02","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.05.03.02 Tunnel Air Quality Monitoring Equipment",,"Point Asset","Point","Basile, Rino",,,"3331","29/01/2026 3:12 PM","21/05/2026 3:42 PM","Muhammad Abid-T2D"
"(S) Air Temperature Sensor/ Mech","Yes","TTS","TTS","Yes","No","Model","ME","371","EF_65_80","Air conditioning","Ss_65_80","Air conditioning systems","Pr_75_50_76_03","Air temperature sensors","EF_65_80Ss_65_80Pr_75_50_76_03","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.03.04.02 Room Temperature Sensors",,"Point Asset","Point","Bird, Cheyne",,,"3181","19/09/2025 3:52 PM","21/05/2026 4:22 PM","Muhammad Abid-T2D"
"(S) Air Terminal / Grille","Yes","EAG","EAG","Yes","No","Model","ME","369","EF_65","Ventilation and air conditioning functions","Ss_65","Ventilation and air conditioning systems","Pr_70_65_04","Air terminals and diffusers","EF_65Ss_65Pr_70_65_04","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.03.06.01 Ventilation Louvers",,"Point Asset","Point","Basile, Rino","1,001",,"491","25/05/2025 8:53 AM","21/05/2026 3:42 PM","Muhammad Abid-T2D"
"(S) Air Vent Valve","Yes","AVV","AVV","No","No","Model","FD",,"EF_55_30","Fire-extinguishing supply","Ss_55_30","Fire-extinguishing systems","Pr_65_54_30","Firefighting valves and devices","EF_55_30Ss_55_30Pr_65_54_30",,"01.05 M&E","01.05.04.05.01 Valves & Actuators",,"Point Asset","Point","Basile, Rino",,,"3684","25/05/2026 11:18 AM","25/05/2026 11:19 AM","Basile, Rino"
"(S) Alarm Signalling Equipment","Yes","FNI","FNI","Yes","Yes","Model","HY",,"EF_75_50_28","Fire and smoke detection and alarms","Ss_75_50_28_29","Fire detection and alarm systems","Pr_75_80_30","Fire detection and alarm devices and control equipment","EF_75_50_28Ss_75_50_28_29Pr_75_80_30","C; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.02.01.15 Alarm Signalling Equipment",,"Point Asset","Point","Zheng, Zach",,,"3729","25/06/2026 2:41 PM","25/06/2026 2:44 PM","Zheng, Zach"
"(S) Alarm Signalling Equipment (ASE)","Yes","ASE","ASE","Yes","No","Model","FD","346","EF_75_50_28","Fire and smoke detection and alarms","Ss_75_50_28","Fire and smoke detection and alarm systems","Pr_75_80_30_28","Fire alarm input and output modules","EF_75_50_28Ss_75_50_28Pr_75_80_30_28","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.02.01.01 Fire Detection and Control System",,"Point Asset","Point","Tay, Bryan","877",,"352","13/05/2025 5:19 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"(S) Alcove Lighting Luminaire","Yes","GLT","GLT","Yes","No","Model","EL","362","EF_70_80","Lighting","Ss_70_80_33","General lighting systems","Pr_70_70_48_24","Downlights","EF_70_80Ss_70_80_33Pr_70_70_48_24","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.06.01.13 General Lighting",,"Point Asset","Point","Tay, Bryan","861",,"336","13/05/2025 5:19 PM","20/05/2026 5:45 PM","Gunagi, Pooja"
"(S) Antenna","Yes","ANT","ANT","Yes","No","Register","RR",,"EF_75_10_21","Data distribution and telecommunications","Ss_75_10_21_21","Data distribution systems","Pr_60_75_01","Antennas and satellite dishes","EF_75_10_21Ss_75_10_21_21Pr_60_75_01","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.05.04.12 Antenna",,"Point Asset","Point","Basile, Rino",,,"3693","1/06/2026 6:36 AM","4/06/2026 4:31 PM","Ganjalibeik, Bobak"
"(S) Anti-Condensate Heater","Yes","HTR","HTR","No","Yes","Register","LV",,"EF_40_40","Equipment","Ss_70","Electrical systems","Pr_60_60","Heating and cooling source products","EF_40_40Ss_70Pr_60_60",,"01.04 Structures","01.04.04.02.03 Building Hydraulics",,"Point Asset","Point","Bird, Cheyne",,,"3699","1/06/2026 1:38 PM","3/06/2026 12:21 PM","Basile, Rino"
"(S) Apron","No","N/A",,"N/A","No","N/A","TT",,"EF_20_05_30","Foundations","Ss_20_05_15","Concrete foundation systems","Pr_20_85_14_16","Concrete solid slabs","EF_20_05_30Ss_20_05_15Pr_20_85_14_16","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,,,"Bird, Cheyne",,,"3301","7/01/2026 11:23 AM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"(S) Architectural Louvre","Yes","ALU","ALU","No","No","Model","AR","370","EF_25_30_45","Louvres","Ss_25_50_45","Louvre and screening systems","Pr_30_59_48","Louvres and components","EF_25_30_45Ss_25_50_45Pr_30_59_48","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.03.06.02 Architectural Louvers",,"Point Asset","Point","Tay, Bryan","839",,"314","13/05/2025 5:19 PM","2/07/2026 12:37 PM","Carson, Morgan"
"(S) Architectural Louvre DU","Yes","ALU","ALU","No","No","Model","DU","381","EF_25_30_45","Louvres","Ss_25_50_45","Louvre and screening systems","Pr_30_59_48","Louvres and components","EF_25_30_45Ss_25_50_45Pr_30_59_48","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.03.06.02 Architectural Louvers",,"Point Asset","Point","Phelan, David",,,"3279","12/12/2025 4:12 PM","20/05/2026 5:37 PM","Gunagi, Pooja"
"(S) Backflow Prevention Device","Yes","CKV","CKV","No","No","Model","HY","345","EF_55_70","Water supply","Ss_55_70","Water distribution and supply systems","Pr_65_54_95_05","Backflow prevention check valves","EF_55_70Ss_55_70Pr_65_54_95_05","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.04.05.01 Valves",,"Point Asset","Point","Tay, Bryan","878",,"353","13/05/2025 5:19 PM","21/05/2026 3:42 PM","Muhammad Abid-T2D"
"(S) Battery","Yes","BAT","BAT","Yes","No","Register","ID","362","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45_92","Uninterruptible power supply systems","Pr_60_70_64_93","Uninterruptible power supply (UPS) units","EF_70_30_45Ss_70_30_45_92Pr_60_70_64_93","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.05.01 Uninterruptible Power Supplies",,"Point Asset","Point","Basile, Rino",,,"3240","18/11/2025 2:11 PM","20/05/2026 4:00 PM","Muhammad Abid-T2D"
"(S) Bollard","No","N/A",,"N/A","No","N/A","ID","368","EF_25_55","Barriers","Ss_25_16_94","Vehicle restraint systems","Pr_20_76_08","Bollards and impact protectors","EF_25_55Ss_25_16_94Pr_20_76_08","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,,,"Basile, Rino","994",,"484","22/05/2025 2:21 PM","20/05/2026 3:52 PM","Muhammad Abid-T2D"
"(S) Bracket","No","N/A",,"No","Yes","N/A","ME","371","EF_40_20","Fittings","Ss_20_10_75","Structural framing systems","Pr_20_29_34_16","Cast brass glass fixing brackets","EF_40_20Ss_20_10_75Pr_20_29_34_16","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,,,"Basile, Rino",,,"3591","27/04/2026 7:23 AM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"(S) Break Glass Unit","Yes","BGU","BGU","Yes","No","Model","ID","372","EF_75_50_28","Fire and smoke detection and alarms","Ss_75_50_28_29","Fire detection and alarm systems","Pr_75_80_30_50","Manual call points","EF_75_50_28Ss_75_50_28_29Pr_75_80_30_50","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.02.01.08 Break Glass Unit",,"Point Asset","Point","James McKinlay-T2D",,,"2674","25/07/2025 3:13 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"(S) Cabinet - Pole Mounted","Yes","ITS","ITS","Yes","No","Model","TT","249","EF_75_30_35","Road signals and controls","Ss_75_30_35","Road signal and control systems","Pr_80_77_28_68","Equipment protection enclosures","EF_75_30_35Ss_75_30_35Pr_80_77_28_68","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.05.05.19 Roadside Cabinets",,"Point Asset","Point","Tay, Bryan","742",,"216","13/05/2025 5:19 PM","20/05/2026 5:45 PM","Gunagi, Pooja"
"(S) Cabinet - Power Distribution","Yes","PDB","PDB","Yes","No","Model","TT","249","EF_70_30_45","Low-voltage electricity distribution","Ss_75_30_35","Road signal and control systems","Pr_60_70_22_11","Cable distribution cabinets","EF_70_30_45Ss_75_30_35Pr_60_70_22_11","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.05.05.19 Roadside Cabinets",,"Point Asset","Point","Tay, Bryan","741",,"215","13/05/2025 5:19 PM","20/05/2026 5:51 PM","Gunagi, Pooja"
"(S) Cable Ladders (Comms Elec)","Conditional","ECL","ECL","No","Yes","Model","LV","360","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45","Low-voltage systems","Pr_65_70_11_14","Cable ladders","EF_70_30_45Ss_70_30_45Pr_65_70_11_14","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset","Line","Bird, Cheyne",,,"3474","2/04/2026 4:08 PM","29/06/2026 1:45 PM","Basile, Rino"
"(S) Cable Ladders (Comms)","Conditional","CLD","CLD","No","Yes","Model","LV","360","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45","Low-voltage systems","Pr_65_70_11_14","Cable ladders","EF_70_30_45Ss_70_30_45Pr_65_70_11_14","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset","Line","Bird, Cheyne",,,"3472","2/04/2026 4:06 PM","29/06/2026 1:45 PM","Basile, Rino"
"(S) Cable Ladders (Elec)","Conditional","ELD","ELD","No","Yes","Model","LV","360","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45","Low-voltage systems","Pr_65_70_11_14","Cable ladders","EF_70_30_45Ss_70_30_45Pr_65_70_11_14","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset","Line","Tay, Bryan","853",,"328","13/05/2025 5:19 PM","29/06/2026 1:45 PM","Basile, Rino"
"(S) Cable Tray - Electrical","No","N/A",,"N/A","No","Model","LT","242","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45","Low-voltage systems","Pr_65_70_11_17","Cable trays","EF_70_30_45Ss_70_30_45Pr_65_70_11_17","2; 3","01.05 M&E","01.05.01.03.02 Cable Ladders and Ducts (LV)",,,,"Bird, Cheyne",,,"3740","3/07/2026 12:18 PM","3/07/2026 12:19 PM","Bird, Cheyne"
"(S) Cable Tray (Comms Elec)","Conditional","ECT","ECT","No","Yes","Model","LV","360","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45","Low-voltage systems","Pr_65_70_11_17","Cable trays","EF_70_30_45Ss_70_30_45Pr_65_70_11_17","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.02 Cable Ladders and Ducts (LV)",,"Point Asset","Line","Zheng, Zach",,,"3475","2/04/2026 4:23 PM","29/06/2026 1:45 PM","Basile, Rino"
"(S) Cable Tray (Comms)","Conditional","CTR","CTR","No","Yes","Model","LV","360","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45","Low-voltage systems","Pr_65_70_11_17","Cable trays","EF_70_30_45Ss_70_30_45Pr_65_70_11_17","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.02 Cable Ladders and Ducts (LV)",,"Point Asset","Line","Basile, Rino",,,"3492","8/04/2026 8:45 AM","29/06/2026 1:46 PM","Basile, Rino"
"(S) Cable Tray (Elec)","Conditional","ETR","ETR","No","Yes","Model","LV","360","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45","Low-voltage systems","Pr_65_70_11_17","Cable trays","EF_70_30_45Ss_70_30_45Pr_65_70_11_17","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.02 Cable Ladders and Ducts (LV)",,"Point Asset","Line","Basile, Rino",,,"3490","8/04/2026 8:44 AM","29/06/2026 1:46 PM","Basile, Rino"
"(S) Card Reader","Yes","EDS","EDS","Yes","No","Model","ID","372","EF_75_40_02","Access control","Ss_75_40_02","Access control systems","Pr_75_30_30_80","Smart card readers and writers","EF_75_40_02Ss_75_40_02Pr_75_30_30_80","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.05.04.01 Public Address System",,"Point Asset","Point","Tay, Bryan","873",,"348","13/05/2025 5:19 PM","21/05/2026 3:47 PM","Muhammad Abid-T2D"
"(S) Card Reader AR","Yes","EDS","ALU","Yes","No","Model","AR",,"EF_75_40_02","Access control","Ss_75_40_02","Access control systems","Pr_75_30_30_80","Smart card readers and writers","EF_75_40_02Ss_75_40_02Pr_75_30_30_80","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.05.04.01 Public Address System",,"Point Asset","Point","Bird, Cheyne",,,"3087","11/08/2025 5:28 PM","21/05/2026 3:47 PM","Muhammad Abid-T2D"
"(S) Cassette Unit (Mechanical)","Yes","CAS","CAS","Yes","No","Model","ME","371","EF_75_70_52","Mechanical engineering services control and management","Ss_75_70_52","Mechanical engineering services control and management systems","Pr_70_65_03","Air conditioning units","EF_75_70_52Ss_75_70_52Pr_70_65_03","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.04 Structures","01.04.04.02.04 HVAC & Exhaust Services",,"Point Asset","Point","Tay, Bryan","879",,"354","13/05/2025 5:19 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"(S) Ceiling Access Panel","No","N/A",,"N/A","No","N/A","ME","371","EF_25_30","Openings","Ss_30_30","Roof and floor opening systems","Pr_30_59_36","Hatches and access panels","EF_25_30Ss_30_30Pr_30_59_36","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,,,"Tay, Bryan","880",,"355","13/05/2025 5:19 PM","20/05/2026 3:52 PM","Muhammad Abid-T2D"
"(S) Changeable Message Sign (CMS)","Yes","CMS","CMS","Yes","No","Model","TT","250","EF_40_10","Signage","Ss_40_10_90_72","Road traffic signage systems","Pr_70_75_72_94","Variable message traffic signs","EF_40_10Ss_40_10_90_72Pr_70_75_72_94","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.05.05.14 Changeable Message Signs",,"Point Asset","Point","Tay, Bryan","748",,"222","13/05/2025 5:19 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"(S) Check Valve","Yes","CKV","CKV","No","No","Model","HY","345","EF_55_70","Water supply","Ss_55_70","Water distribution and supply systems","Pr_65_54_95_80","Steel alloy check valves","EF_55_70Ss_55_70Pr_65_54_95_80","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.04.05.01 Valves",,"Point Asset","Point","Tay, Bryan","881",,"356","13/05/2025 5:19 PM","21/05/2026 3:42 PM","Muhammad Abid-T2D"
"(S) Chillers","Yes","WHT","WHT","Yes","No","Model","ME","371","EF_75_70_52","Mechanical engineering services control and management","Ss_75_70_52","Mechanical engineering services control and management systems","Pr_60_60_13","Chillers and cooling towers","EF_75_70_52Ss_75_70_52Pr_60_60_13","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.04 Structures","01.04.04.02.03 Building Hydraulics",,"Point Asset","Point","Tay, Bryan","882",,"357","13/05/2025 5:19 PM","20/05/2026 5:57 PM","Gunagi, Pooja"
"(S) Circuit Breaker - Essential Services Switchboard","Yes","CBE","CBE","No","Yes","Register","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.05 Circuit Breaker (LV)",,"Point Asset","Point","Basile, Rino",,,"3468","31/03/2026 4:58 PM","20/05/2026 4:00 PM","Muhammad Abid-T2D"
"(S) Circuit Breaker - Generator Backed Distribution Board","Yes","CBG","CBG","No","Yes","Register","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.05 Circuit Breaker (LV)",,"Point Asset","Point","Basile, Rino",,,"3469","31/03/2026 4:58 PM","20/05/2026 4:00 PM","Muhammad Abid-T2D"
