"Asset Identifier (Label)","Managed","DIT_AssetType","AssetTypeRef","SiteID_Drawings","Manual_SiteID","AssetCapture","T2D_DisciplineCode","T2D_ClashGroup","Uniclass_EfCode","Uniclass_EfTitle","Uniclass_SsCode","Uniclass_SsTitle","Uniclass_PrCode","Uniclass_PrTitle","UniclassCodeKey","LocationHeirarchyKey","DIT_AssetClass","DIT_AssetComponent","Ausroads_Asset_Discipline","DIT_AssetCategory","ShapeField","Created By","MPDId","Compliance Asset Id","ID","Created","Modified","Modified By"
"Human Machine Interface","Yes","HMI","HMI","Yes","No","Model","TT",,"EF_75_30_35","Road signals and controls","Ss_75_30_35","Road signal and control systems","Pr_75_50_18_41","Instrumetation, automation and control panels","EF_75_30_35Ss_75_30_35Pr_75_50_18_41",,"01.05 M&E","01.05.05.02.06 Human Machine Interface",,"Point Asset","Point","James McKinlay-T2D",,,"2960","25/07/2025 3:17 PM","20/05/2026 5:45 PM","Gunagi, Pooja"
"Humidity Sensor","Yes","HUS","HUS","Yes","No","Unsure","VA",,"EF_65_80","Air conditioning","Ss_65_80","Air conditioning systems","Pr_75_50_76_71","Relative humidity sensors","EF_65_80Ss_65_80Pr_75_50_76_71",,"01.05 M&E","01.05.03.04.02 Room Temperature Sensors",,"Point Asset","Point","James McKinlay-T2D",,,"2843","25/07/2025 3:15 PM","20/05/2026 5:04 PM","Gunagi, Pooja"
"HV Cable Pit","Yes","HPT","HPT","Yes","No","Model","HV",,"EF_70_30_35","High-voltage electricity distribution","Ss_70_30_35_35","High-voltage distribution systems","Pr_65_70_11_21","Cable access chambers","EF_70_30_35Ss_70_30_35_35Pr_65_70_11_21",,"01.05 M&E","01.05.01.01.03 Cable Pits (HV)",,"Point Asset","Point","James McKinlay-T2D",,,"2621","25/07/2025 3:11 PM","20/05/2026 5:45 PM","Gunagi, Pooja"
"Hydrant Booster Cabinet Control Panel","Yes","HBP","HBP","Yes","No","Unsure","FD",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_75_50_18_32","Fire electric pump control panels","EF_55_30_96Ss_55_30_96_30Pr_75_50_18_32",,"01.05 M&E","01.05.01.03.07 Control Panel – Pumps",,"Point Asset","Point","Mazarei, Ashkan (DIT)",,,"3262","5/12/2025 10:33 AM","20/05/2026 5:04 PM","Gunagi, Pooja"
"Hydrant HDPE Pipework","No","HPP","HPP","No","No","Model","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_65_52_63_63","Polyethylene (PE) water pipes and fittings","EF_55_30_96Ss_55_30_96_30Pr_65_52_63_63",,"01.05 M&E","01.05.02.02.01 Fire Hydrants",,"Point Asset","Line","James McKinlay-T2D",,,"2752","25/07/2025 3:14 PM","21/05/2026 3:47 PM","Muhammad Abid-T2D"
"Hydrant Jockey Pumps","Yes","PU","PU","Yes","No","Model","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_65_53_86","Supply and exhaust pumps","EF_55_30_96Ss_55_30_96_30Pr_65_53_86",,"01.05 M&E","01.05.02.10.02 Fire Pressure Maintenance (Jacking) Pump",,"Point Asset","Point","James McKinlay-T2D",,,"2753","25/07/2025 3:14 PM","20/05/2026 5:52 PM","Gunagi, Pooja"
"Hydrant Jockey Pumps Control Panel","Yes","HJB","HJB","Yes","No","Model","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_75_50_18_32","Fire electric pump control panels","EF_55_30_96Ss_55_30_96_30Pr_75_50_18_32",,"01.05 M&E","01.05.01.03.07 Control Panel – Pumps",,"Point Asset","Point","James McKinlay-T2D",,,"2754","25/07/2025 3:14 PM","21/05/2026 3:47 PM","Muhammad Abid-T2D"
"Hydrant Main Pump","Yes","PU","PU","Yes","No","Model","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_65_53_86","Supply and exhaust pumps","EF_55_30_96Ss_55_30_96_30Pr_65_53_86",,"01.05 M&E","01.05.02.10.01 Fire Hydrant Booster",,"Point Asset","Point","James McKinlay-T2D",,,"2755","25/07/2025 3:14 PM","20/05/2026 5:52 PM","Gunagi, Pooja"
"Hydrant Main Pumps Control Panel","Yes","HPB","HPB","Yes","No","Model","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_75_50_18_32","Fire electric pump control panels","EF_55_30_96Ss_55_30_96_30Pr_75_50_18_32",,"01.05 M&E","01.05.01.03.07 Control Panel – Pumps",,"Point Asset","Point","James McKinlay-T2D",,,"2756","25/07/2025 3:14 PM","21/05/2026 3:47 PM","Muhammad Abid-T2D"
"Hydrant Pump Manifold","No","HPM","HPM","No","No","Unsure","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_65_54_30","Firefighting valves and devices","EF_55_30_96Ss_55_30_96_30Pr_65_54_30",,"01.05 M&E","01.05.02.12.05 Deluge Pump manifold",,"Point Asset","Point","James McKinlay-T2D",,,"2757","25/07/2025 3:14 PM","20/05/2026 5:04 PM","Gunagi, Pooja"
